SSCC;PRODUCTO;DESCRIPCION;F_CADUC;ESTADO;UNIDS_STO;UNIDS_DES;MOTIVO;   ZONA;ALL;DPL;NIV;LOTE;EMBALAJE
'384105000261703769;71941            ;HAMBURGUESA VEGETAL 80-90G CON;20241031;10;162;0;   ;M;110;420;0;'22279/162           ;PBL
'384105000261700331;5526             ;ALBONDIGA MXTA 25G S/GLU S/LAC;20240830;10;124;0;   ;M;110;284;0;'22273005            ;PBL
'384105000261700348;5526             ;ALBONDIGA MXTA 25G S/GLU S/LAC;20240912;10;160;0;   ;M;110;284;0;'22286007            ;PBL
'384105000261700355;5526             ;ALBONDIGA MXTA 25G S/GLU S/LAC;20240912;10;16;0;   ;M;110;284;0;'22286007            ;PBL
'000000000004645900;36298            ;PATATA BRAVA CONG*            ;20240430;10;26;15;   ;M;110;44;0;'1004237855          ;PBL
'384105000261582883;36298            ;PATATA BRAVA CONG*            ;20240430;10;63;0;   ;M;110;44;0;'1004237855          ;PBL
'384105000261582890;36298            ;PATATA BRAVA CONG*            ;20240430;10;63;0;   ;M;110;44;0;'1004237855          ;PBL
'384105000261582906;36315            ;PATATA DADO PREFRITA CONG     ;20240430;10;72;0;   ;M;110;45;0;'1004224604          ;PBL
'384105000261582944;36316            ;PATATA DOLLAR CONG            ;20240430;10;37;2;   ;M;110;46;0;'1004221430          ;PBL
'384105000261582951;36316            ;PATATA DOLLAR CONG            ;20240430;10;72;0;   ;M;110;46;0;'1004241645          ;PBL
'384105000261582968;36316            ;PATATA DOLLAR CONG            ;20240430;10;72;0;   ;M;110;46;0;'1001221430          ;PBL
'384105000261582975;36331            ;PATATA JULIANA 6X6 CONG*      ;20230831;10;54;0;   ;M;110;251;0;'1004167422          ;PBL
'384105000261582982;36331            ;PATATA JULIANA 6X6 CONG*      ;20230831;10;54;0;   ;M;110;251;0;'1004174515          ;PBL
'384105000261582999;36331            ;PATATA JULIANA 6X6 CONG*      ;20230831;10;54;0;   ;M;110;251;0;'1004174515          ;PBL
'384105000261664237;158101           ;POLLO CONTRAMUSLO FILETE 150G ;20240228;10;25;0;   ;M;110;519;0;'5479                ;PBL

