CLIENTE;NOMBRE;REFERENCIA;D_ENTREGA;CAJAS;PREPARADO;RUTA;POBLACION
L0JF65        ;E. ELS COSSETANS              ;TELF.L0JF65300123 - 7180      ;20230130;1;0;7180;CUNIT
L0K981        ;SANDVIK ESPANOLA              ;4003372885 - 6130             ;20230130;1;0;6130;MARTORELLES
L0KA39        ;LABORATORIOS MENARIN          ;4003374014 - 6120             ;20230130;1;0;6120;BADALONA
L0L266        ;RESIDENCIA ROCA I PI          ;4003370209 - 6120             ;20230130;1;0;6120;BADALONA
L0L528        ;AIDAR RUBI                    ;4003373457 - 6130             ;20230130;1;0;6130;RUBI
L0L529        ;CENTRE MEDIC MOLINS           ;4003369066 - 6150             ;20230130;1;0;6150;MOLINS DE REY
L0L529        ;CENTRE MEDIC MOLINS           ;4003361945 - 6150             ;20230130;1;0;6150;MOLINS DE REY
L0L538        ;FONT FLORIDA                  ;4003373119 - 6110             ;20230130;1;0;6110;BARCELONA
L0L539        ;EL TAMARIU /CAL SAIO          ;4003374251 - 6110             ;20230130;1;0;6110;EL PRAT
L0JF65        ;E. ELS COSSETANS              ;TELF.270123 - 7180            ;20230130;2;0;7180;CUNIT
L0L548        ;FUNDACIO PERE BADIA           ;TELF.L0L548270123 - 7180      ;20230130;1;0;7180;TORREDEMBARRA
L0L790        ;CEIP VALL DE BOI              ;4003372203 - 7126             ;20230130;1;0;7126;BARRUERA
L0L790        ;CEIP VALL DE BOI              ;4003372208 - 7126             ;20230130;1;0;7126;BARRUERA
L0L790        ;CEIP VALL DE BOI              ;4003372213 - 7126             ;20230130;1;0;7126;BARRUERA
L0L803        ;RCI PERE RELATS               ;TELF.L0L803270123 - 6150      ;20230130;1;0;6150;BARCELONA
L0L803        ;RCI PERE RELATS               ;4003373686 - 6150             ;20230130;1;0;6150;BARCELONA
L0LE23        ;CAN LLUPIA                    ;4003372176 - 6120             ;20230130;1;0;6120;BARCELONA
L0LE81        ;GENT GRAN REUS                ;4003373818 - 7180             ;20230130;1;0;7180;REUS
L0L548        ;FUNDACIO PERE BADIA           ;TELF.270123 - 7180            ;20230130;1;0;7180;TORREDEMBARRA
L0LE81        ;GENT GRAN REUS                ;TELF.L0LE81270123 - 7180      ;20230130;1;0;7180;REUS
L0LG13        ;ESCOLA PIA DE SITGES          ;TELF.L0LG13270123 - 6150      ;20230130;1;0;7180;SITGES
L0LG22        ;POLICLINICA VENDRELL          ;TELF.L0LG22270123 - 7180      ;20230130;1;0;7180;VENDRELL
L0L803        ;RCI PERE RELATS               ;TELF.270123 - 6150            ;20230130;1;0;6150;BARCELONA
L0LG22        ;POLICLINICA VENDRELL          ;4514626447 - 7180             ;20230130;1;0;7180;VENDRELL
L0LG39        ;MASIES DE MOLLET RESIDENCIAL  ;4514622891 - 6130             ;20230130;1;0;6130;MOLLET DEL VALLES
L0M706        ;PLATAFORMA BARCELONA          ;4514630720 - 6000             ;20230130;1;0;0;SANT CUGAT DEL VALLES
L0LE81        ;GENT GRAN REUS                ;TELF.270123 - 7180            ;20230130;1;0;7180;REUS
L0LG13        ;ESCOLA PIA DE SITGES          ;TELF.270123 - 6150            ;20230130;1;0;7180;SITGES
L0LG22        ;POLICLINICA VENDRELL          ;TELF.270123 - 7180            ;20230130;1;0;7180;VENDRELL
L0ND78        ;ESCOLA NEN DEU                ;4003370770 - 6120             ;20230130;1;0;6120;BARCELONA
L0ND80        ;FUNDACIO CASA ASIL            ;4003373526 - 6120             ;20230130;1;0;6120;BARCELONA
L0ND80        ;FUNDACIO CASA ASIL            ;4003374559 - 6120             ;20230130;1;0;6120;BARCELONA
L0ND95        ;ASPROSEAT S JUST              ;4003373360 - 6110             ;20230130;1;0;6110;SANT JUST DESVERN
